filename,sample_id,view_id,magnification,radius_um,xylem_um,phloem_um,bark_um,backend,similar_ref,sim_vs_manual
37-3 4X.jpg,37,3,4,2583.937198067633,1795.3723316708722,289.17561361358815,225.2346634111919,yolo,,0.5953
38-1 2X.jpg,38,1,2,2029.6127562642369,1278.9872693208335,250.96717259260586,80.5239179954442,yolo,,0.6331
38-2 4X.jpg,38,2,4,2191.425120772947,1388.8117818702315,319.13357030750177,105.46044492371611,yolo,,0.8089
38-3 4X.jpg,38,3,4,2296.116504854369,1255.0167557670127,274.8982927766767,80.52184466019415,yolo,,0.7491
39-1 2X.jpg,39,1,2,1675.3986332574032,973.2159989788767,251.61315819652222,64.46469248291557,yolo,,0.9093
39-2 4X.jpg,39,2,4,1790.4589371980674,1174.3795341339166,297.6615286680157,77.47584541062794,yolo,,0.7007
39-3  4X.jpg,39,3,4,2009.0579710144928,1295.090421065973,273.32745333016237,82.54830917874402,yolo,,0.8496
40-1 2X.jpg,40,1,2,1969.2482915717535,1141.0231418139242,326.1750358626136,77.22095671981789,yolo,,0.8004
40-2 4X.jpg,40,2,4,2176.328502415459,1355.8789201788368,341.0413696762359,89.31159420289852,yolo,,0.5142
40-3 4X.jpg,40,3,4,2103.260869565218,1227.3073581161098,304.39554043461453,80.61594202898549,yolo,,0.7412
41-1 2X.jpg,41,1,2,1591.116173120729,1026.1180096969704,222.85263840190848,102.96557057993671,yolo,,0.9029
41-2 4X.jpg,41,2,4,1726.449275362319,1046.2971756722986,264.5421963083775,68.99154589371989,yolo,,0.8342
41-3  4X.jpg,41,3,4,1631.0679611650478,1062.3154143735617,301.5802166943994,71.7839805825243,yolo,,0.8740
42-1 2X.jpg,42,1,2,1112.756264236902,452.1461193488341,173.25251390856923,32.915717539863245,yolo,,0.9462
42-2  4X.jpg,42,2,4,1293.478260869565,522.1626390768065,200.66344787971474,38.04347826086986,yolo,,0.9216
42-3 4X.jpg,42,3,4,1263.888888888889,604.1141477906998,201.8943063155804,42.42149758454097,yolo,,0.7589
43-1 2X.jpg,43,1,2,164.0091116173122,2263.4704443989767,438.0415348240651,145.86843079973758,yolo,,0.6758
43-2 4X.jpg,43,2,4,3184.7826086956525,2288.057207375657,512.0333723344878,147.37318840579726,yolo,,0.7800
43-3 4X.jpg,43,3,4,3308.5748792270533,1159.4744851655857,461.14749551074317,85.29589371980666,yolo,,0.3353
44-1 2X.jpg,44,1,2,2299.544419134397,1503.2847903620939,366.4190820752636,98.40546697038725,yolo,,0.9151
44-2 4X.jpg,44,2,4,2480.072463768116,1704.4338546796725,392.3354689918249,110.35628019323687,yolo,,0.7059
44-3 4X.jpg,44,3,4,2506.0386473429953,1731.1903837876537,360.4158964055838,110.08454106280195,yolo,,0.8076
