                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      6,                 1.2283,                  1.864,                 1.0439,                 1.4691,                0.81789,                0.79365,                0.84335,                0.54186,                0.81169,                0.78652,                0.82987,                0.40654,                 1.0957,                 1.5186,                0.86652,                 1.4545,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.2252,                 1.8898,                 1.0213,                 1.4848,                0.80662,                0.81642,                0.87426,                0.57941,                 0.7992,                0.80799,                0.85707,                0.42792,                 1.0538,                 1.4622,                 0.8675,                 1.4213,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.1501,                 1.8332,                0.99615,                 1.4067,                0.79158,                0.84079,                0.85749,                0.59312,                0.78251,                0.83097,                0.84924,                 0.4434,                 1.0002,                 1.3683,                0.85941,                 1.3557,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.1588,                 1.8623,                0.99293,                 1.4314,                0.76463,                0.87593,                0.85637,                0.59469,                0.75587,                 0.8661,                 0.8459,                0.44621,                 1.0079,                 1.3862,                0.83999,                 1.3606,              0.0010069,              0.0010069,              0.0010069
                     10,                  1.179,                 1.8337,                 1.0054,                 1.4317,                0.79557,                0.82591,                0.85311,                0.55313,                0.76044,                0.79645,                0.80532,                0.41615,                0.97951,                 1.3584,                0.86395,                 1.3528,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.0494,                 1.7028,                0.93638,                 1.3669,                0.81103,                0.82404,                0.85629,                0.59239,                0.80387,                0.81557,                 0.8497,                0.45126,                0.92549,                  1.354,                0.83477,                 1.3237,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.0367,                 1.6889,                0.92585,                 1.3523,                0.83639,                0.80722,                0.85675,                0.59689,                0.82882,                0.80583,                0.85092,                0.43548,                0.97998,                 1.3664,                 0.8434,                 1.3405,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.0101,                 1.6413,                0.89588,                 1.3387,                 0.8476,                 0.7951,                0.87261,                0.62443,                0.83899,                0.78662,                0.86825,                0.48343,                0.89985,                 1.2888,                0.80556,                 1.2883,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.0131,                 1.6986,                0.89633,                 1.3518,                0.85348,                0.78834,                0.87109,                0.58453,                0.83699,                0.77139,                0.84204,                0.45648,                0.96248,                 1.3329,                0.78323,                 1.3346,             0.00059429,             0.00059429,             0.00059429
                     15,                  1.025,                 1.6809,                0.89693,                 1.3699,                0.83464,                 0.8188,                0.87002,                0.58886,                0.82116,                0.80321,                0.84164,                0.45781,                0.98631,                 1.3182,                0.81574,                 1.3299,             0.00051177,             0.00051177,             0.00051177
                     16,                0.97512,                 1.6266,                0.86938,                  1.315,                0.84343,                0.82253,                0.88065,                0.60944,                0.83573,                0.81405,                0.87404,                0.45125,                0.91222,                 1.3549,                0.74924,                 1.3082,             0.00042925,             0.00042925,             0.00042925
                     17,                0.97243,                 1.6307,                0.86472,                 1.3195,                0.83717,                0.83064,                0.88087,                0.60721,                0.83359,                0.82171,                0.87483,                0.45834,                 0.8857,                 1.2893,                 0.7737,                 1.2927,             0.00034674,             0.00034674,             0.00034674
                     18,                 0.9723,                 1.6207,                0.85865,                 1.3098,                 0.8599,                0.81889,                 0.8779,                 0.5928,                0.86544,                 0.8188,                0.87262,                0.43597,                 1.0033,                 1.3855,                0.79204,                 1.3631,             0.00026422,             0.00026422,             0.00026422
                     19,                0.95605,                 1.6256,                0.84308,                  1.292,                0.82518,                0.85332,                0.87621,                0.61354,                 0.8416,                0.81574,                0.86925,                 0.4686,                0.87113,                 1.2977,                0.76133,                 1.2832,              0.0001817,              0.0001817,              0.0001817
                     20,                0.94732,                 1.6053,                0.84661,                 1.3019,                0.84129,                0.84161,                0.87573,                0.61354,                0.83868,                0.82438,                  0.869,                0.47438,                0.90962,                 1.3236,                0.76302,                 1.3028,             9.9187e-05,             9.9187e-05,             9.9187e-05
